LoadNum,ActivityDate,Origin,Destination,Status,ApptNum,DeliveryDate
SHP003,26-06-2025,Verrebroek,Campogalliano,Delivered,N/A,TBD
SHP004,30-06-2025,Leicester,Born,Booked,N/A,TBD
